Acanthamoebidae	Acanthamoeba	unclassified_Acanthamoeba
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
Fungi	Dikarya	Basidiomycota	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Fungi	environmental_samples
Metazoa	Nematoda	Chromadorea	Tylenchida	Aphelenchoidea	Aphelenchidae	Aphelenchoides
Polycystinea
Proleptomonas
Trimastix
Trimastix
environmental_samples
environmental_samples
environmental_samples
environmental_samples
environmental_samples
environmental_samples
environmental_samples
environmental_samples
